章节,暂定章名,本章目标,钩子或转折,推进说明
23,一炉清正,林照晚正式成炉 丹药品相不华丽但药性极稳,照晚房摆脱末三减炉时危机 获得一次开脉折价推荐权,韩承岳开始觉得冷灶房的火太干净
24,青榜添名,比赛结果公布 林照晚名次不算最高但足以保住丹房,盛砚得到炼药学徒预备考核资格和少量贡献,旧炉对比赛炉火残炁有微弱反应
25,折价开脉,盛砚获得折价开脉机会 但材料仍需自筹一部分贡献,正式开脉目标落地,灵兽园急缺懂温络散的人手 林照晚把他推过去
26,病兽不吃药,灵兽园一头低阶灵鹿拒药 普通驱寒散无效,盛砚看见丹毒能污染活物 灵兽线开启,旧炉分出一缕极淡黑青气 盛砚不敢声张
27,胆小的人,章小满被派来送药 遇病兽发狂本能想跑又折回来递净水符,章小满完成第一次人物变化,灵鹿角上出现与炉灰坡相似的暗纹
28,开脉药浴,盛砚用贡献 月例和林照晚推荐换来低配开脉药浴,正式开脉数段 能稳定运转小周天养息诀,陆炉翁提醒脉开了麻烦也会找上门
29,药山夜令,药山外围突发夜瘴 外门临时征调低阶弟子和药童送避瘴包,盛砚第一次参与半实战任务,洛含霜与盛砚被分到同一小队
30,瘴里有声,夜瘴中有人为抢灵草诱发混乱 赵横也被卷入,盛砚用净息辨风向 带队避开最浓瘴气,队伍少了一包镇瘴藤种
31,药粉不杀人,盛砚用驱瘴粉 缚藤和地形拖住低阶妖兽 不正面硬拼,药息斗法第一次成局 赢的是目标不是战力,洛含霜承认他刚才那一步不是运气
32,小满回头,章小满在危险中想起妹妹却仍回头把符递给盛砚,友情线真正立住,夜瘴退后 队伍发现一只灵兽园失踪灵鹿的旧铃
33,黑火封蜡,盛砚把家书里的黑火封蜡与炉灰坡记号 外务旧炉材账对上,父亲线推进 盛怀山失踪前确曾追查过一批异常旧炉材,外务廊旧炉材账少了一页 缺口旁有韩房火印
34,半寸藤成线,盛砚复盘夜瘴 缚藤不再只是三息而能牵住细线辅助走位,术法和战斗经验小幅兑现,外门小比提前 夜瘴任务者必须参加
35,外门小比,小比不是擂台炫技 而是药山 术法 守炉和应变综合评定,盛砚有机会凭综合能力拿开脉后第一份上评,赵横被韩房暗示要在小比中压住盛砚
36,不争第一,盛砚明知正面争不过洛含霜和魏启明 选择保住任务目标,盛砚性格兑现 不争一时风头 先保该保的事,评审发现他留下的药雾路径像一枚简陋阵眼
37,药雾成圈,盛砚用药粉 缚藤 引火前置和地形形成小范围控场,药息斗法正式有记忆点,陆炉翁远远看了一眼说像旧时丹阵的影子
38,冷灶有名,小比后照晚房不再被轻易叫冷灶 林照晚获得更多炉时,师徒线阶段兑现 盛砚得到外门弟子考核资格影子,韩承岳转而怀疑林照晚背后有人指点
39,青藤谷旧火石,小比复核后盛砚被临时派往药山青藤谷处理一处旧火石偏热的小险地,地图扩展到药山小副本 药息斗法在真实地形中继续成形,旧火石旁找到与黑火封蜡同类的封口残蜡
40,第二道细脉,盛砚用小比上评 比赛贡献和青藤谷任务功劳换取低配药浴补足,修行收益兑现 第二道细脉初成 正式弟子考核目标清晰,林照晚收到匿名旧账拓片 拓片火印与盛怀山旧纸相合
